categoryName,view_count,likes,dislikes,comment_count
Howto & Style,63258,8303,58,449
News & Politics,1140286,106162,14663,22819
Music,5587549,371244,4272,34734
People & Blogs,131998,17192,145,1868
Entertainment,4741628,98269,4269,39911
Music,3829270,165525,6324,16441
Comedy,601107,53303,476,1268
Entertainment,164364,10138,212,833
Education,320166,9987,571,447
Autos & Vehicles,184380,15154,203,1069
News & Politics,507093,6380,544,3076
Sports,180555,5033,255,246
Entertainment,102944,6624,93,619
News & Politics,22218,1625,56,151
Gaming,33067,4318,70,333
Education,136817,1444,49,332
Gaming,1717984,62147,2662,6043
Howto & Style,398566,14941,558,2746
Gaming,434217,6059,204,2113
Music,119069,6756,150,586
Comedy,2027917,34223,969,4489
Film & Animation,166462,0,0,0
Howto & Style,716172,22481,648,4038
Education,35258,3188,56,128
Entertainment,374405,3835,337,2148
Science & Technology,55641,3059,62,213
Entertainment,2648838,44599,2233,3720
Autos & Vehicles,26272,1483,40,77
Sports,168958,9449,104,264
Sports,154690,8034,247,1400
Entertainment,61142,2193,94,132
Film & Animation,611950,15255,138,1950
Gaming,1723195,119662,766,1445
Music,1506035,282323,1537,30690
Entertainment,75737,4430,205,886
Comedy,772326,109159,880,7792
Autos & Vehicles,458712,37129,2322,1827
Sports,284476,2913,91,221
People & Blogs,231854,8340,222,1474
Entertainment,14630289,160447,18210,6337
Entertainment,447908,35050,1237,5015
Film & Animation,114982,16560,279,1501
Gaming,534173,75115,483,304
Autos & Vehicles,31799,324,19,52
Entertainment,258660,7036,232,599
Entertainment,405163,9802,1962,1170
People & Blogs,186253,1624,172,64
Gaming,1102973,42205,2176,5456
Entertainment,673232,6185,762,298
People & Blogs,121189,8783,52,363
Entertainment,1128763,20524,916,1520
Comedy,485456,100640,475,2382
Entertainment,202792,3480,134,237
Entertainment,154998,9843,54,749
Gaming,207136,7586,196,1147
People & Blogs,596041,73540,478,1436
Film & Animation,85632,11538,61,271
Sports,3963343,58362,2017,2089
Entertainment,179606,7017,210,1353
People & Blogs,101350,10207,244,558
Entertainment,55249,6416,68,699
Entertainment,134064,5913,241,264
News & Politics,438381,23592,449,2317
Science & Technology,1316283,76125,10536,15872
Entertainment,232798,3323,1186,262
Comedy,485743,57167,228,3266
Entertainment,2887882,99522,177599,46591
Sports,750326,10978,183,694
People & Blogs,18734,1223,18,89
Music,50898,1039,65,92
Sports,1414956,44356,1182,2622
Sports,265726,1431,82,196
Pets & Animals,426174,24532,172,4871
Gaming,6880563,524454,5683,30881
People & Blogs,101063,12760,423,1490
Howto & Style,33888,1520,78,176
Sports,761679,12710,611,2410
Entertainment,606239,58348,405,6863
Entertainment,1058150,54901,555,2225
People & Blogs,184058,8455,67,412
Music,19974970,2236039,29957,326857
News & Politics,429274,2992,191,610
Film & Animation,64528,6836,101,412
Gaming,154170,9472,278,2910
Science & Technology,437813,32797,775,1401
People & Blogs,29450,0,0,44
,285860,1893,527,560
People & Blogs,233427,33753,490,1146
People & Blogs,410021,33206,751,3607
Entertainment,325275,12069,345,759
Entertainment,903282,72047,1634,7440
People & Blogs,121073,2749,115,576
Comedy,728033,19327,45797,16109
People & Blogs,119159,9508,33,977
Sports,250160,0,0,0
Music,453953,10557,497,763
Science & Technology,34414,6012,31,598
People & Blogs,1839734,107168,2658,10912
Music,44967,1981,34,72
Music,39484,1156,22,127
Entertainment,986411,10391,508,850
Sports,2858394,43312,1327,2323
Gaming,62012,5441,29,81
Entertainment,183227,8518,102,237
People & Blogs,322556,27304,1994,14857
Howto & Style,219720,4256,110,198
Comedy,200050,1904,173,84
Autos & Vehicles,249670,17797,301,3411
Entertainment,1851453,56977,1203,4568
Comedy,45211,6389,43,180
Entertainment,3435972,64429,2420,26816
News & Politics,139954,6531,262,1002
Music,204735,1140,65,32
Music,1002703,130038,833,8190
Music,6543135,625005,34031,36275
People & Blogs,936198,4666,896,2119
Science & Technology,1129918,23506,822,1726
Music,314496,6526,8195,1290
Howto & Style,66311,3538,256,222
News & Politics,85289,4413,133,210
Gaming,176107,7420,1524,726
Sports,2235916,21964,938,6338
Entertainment,1049492,7835,323,871
Sports,472372,11797,382,1757
Music,2494366,47381,4357,2794
Music,667125,49710,2827,7176
Comedy,154474,12893,916,604
Entertainment,546913,15385,1579,4525
Music,387714,61918,450,2973
People & Blogs,201737,2934,544,2172
Entertainment,113899,2852,175,100
People & Blogs,247828,6925,368,845
Entertainment,936875,23570,444,1047
Entertainment,328800,8846,404,386
Sports,124819,4657,131,652
Music,381600,16534,242,619
Entertainment,240599,5726,63,0
Comedy,539008,19592,493,13467
News & Politics,1437075,14698,3217,10244
Entertainment,144859,8284,98,225
People & Blogs,658745,24977,459,1960
Pets & Animals,398768,7798,458,248
Autos & Vehicles,559765,35871,1103,1146
Entertainment,81490,228,24,12
Science & Technology,2057247,277038,6267,21303
News & Politics,114779,1169,202,1445
Sports,223350,7854,146,881
Entertainment,502328,24652,1597,924
Entertainment,163417,5065,255,0
Sports,587196,15551,233,1365
Entertainment,306232,8880,324,1256
Gaming,262502,1948,70,930
Entertainment,920417,18225,425,992
Sports,338079,6028,284,1162
Science & Technology,2578534,32538,3496,6053
Entertainment,1367389,199772,1053,6057
Entertainment,1628799,108334,1234,2497
People & Blogs,763609,79063,681,8950
Comedy,127935,21272,377,1518
People & Blogs,63481,5879,47,142
Entertainment,1766757,0,0,3054
Music,277401,9384,146,775
People & Blogs,528593,28716,1538,3078
Entertainment,209832,5246,103,145
Sports,660882,3179,2936,517
Comedy,1893320,196584,1893,13322
Music,44082,4410,34,262
Howto & Style,394248,23976,430,861
