video_id,categoryName,view_count,likes,dislikes,comment_count
--2Us2lFR8Y,Entertainment,705147,94116,1105,4666
--4D57S8fLo,Entertainment,389006,36260,295,1615
--4tfbSyYDE,Music,560471,28168,262,3440
--609ydw2LM,Entertainment,439260,8864,142,0
--8IwTcvN98,Comedy,565697,19575,260,3997
--G13b-WWtQ,Comedy,1739525,301883,1376,7511
--H454TjwPU,Music,219476,4184,114,478
--HCZzQHrDA,Music,579667,28482,2711,16138
--IFHa2u94s,Entertainment,1216114,25740,367,619
--KShde1TIw,Music,603082,19762,213,344
--L_wDHUaxY,Gaming,4434301,553020,7316,22839
--MvOWR16L8,People & Blogs,345912,9678,415,1689
--PNXe6E0_Y,Music,279342,9574,66,318
--SvHNpSvpk,Music,5308719,175482,4544,15346
--WGlFF6-yw,Entertainment,823873,16329,415,963
--XSkkq60Cw,People & Blogs,596061,29430,3523,0
--caYY3VbjY,Autos & Vehicles,455999,25860,1238,916
--ixRiohjh4,News & Politics,76183,1407,113,91
--s-JJCQfPU,Autos & Vehicles,532298,48092,256,4348
--smQkLRmrY,Music,571786,41861,867,0
--xmP5nOoLM,Entertainment,1133585,13082,688,1018
-01lNF5O4nY,Entertainment,87000,8708,65,514
-024Swollbc,Howto & Style,220621,15132,79,772
-02CQlwCZ4M,News & Politics,103111,1476,24,0
-0EuNvq7sko,Sports,223350,7854,146,881
-0MUjS3TZ6k,People & Blogs,178795,17216,419,1590
-0NnMsltX6E,Entertainment,1446032,15884,1020,652
-0R7QXGouFY,Entertainment,76995,7815,247,623
-0SOJVfKX00,Entertainment,486497,47498,1328,4256
-0Yxqcm0K2I,Sports,600500,8333,233,6361
-0ZGKFwF1-4,Howto & Style,94686,13852,85,350
-0ayrcTloaM,Gaming,1122592,103371,866,4018
-0k6PPAC2SQ,News & Politics,438748,3183,840,2903
-0kb-gs-GKc,People & Blogs,2443401,164430,1066,6398
-0pEMNPpDc4,Film & Animation,1481069,59134,1899,2717
-0s27pAshXo,Sports,56614,633,27,0
-0udX1wZ82U,People & Blogs,880212,94713,2516,14802
-0wz7n-h71M,Entertainment,1126978,28880,1043,3646
-0x4p6Lft24,Sports,125932,6929,98,366
-0yK30x6EtQ,People & Blogs,537912,61671,652,1825
-10ZXMMc4x4,Music,2305345,206068,3454,11646
-10xOcb6zYM,Entertainment,220176,16976,283,2315
-13Z3F5Zqvs,Music,77300,9701,131,757
-13zaPpFfSs,People & Blogs,229968,38443,488,1575
-15lwaank7w,Gaming,219378,11192,1595,1465
-1HbFmXHKWs,People & Blogs,1249804,27828,353,7630
-1ImKHHc7Ck,Music,5658964,135771,2422,2815
-1KB28bf9rE,People & Blogs,48705,4277,69,1276
-1MlDyihHgU,Music,1546182,17559,951,278
-1U-L0gG4LY,People & Blogs,192207,5513,223,311
-1UJO5PGGqM,Sports,422007,4037,337,2935
-1aa22MgJio,Autos & Vehicles,104275,10819,127,892
-1d297tBH0M,Entertainment,3781185,379232,3990,27683
-1dLG2z61hQ,Entertainment,116616,6715,198,304
-1faPsuIyh0,Science & Technology,18852,821,39,176
-1h5O7XVKNw,Howto & Style,307783,6341,355,2226
-1i1gagGtu4,Comedy,1016702,77527,1227,1696
-1iKzfedl-4,Entertainment,437038,32574,906,1892
-1jc3laLQhk,Sports,26454,3593,16,130
-1oQLPRE21o,Education,1563961,59238,288,6871
-1s-uEJtDO4,Film & Animation,142669,16635,459,1122
-1t19y-4opA,Autos & Vehicles,160065,8911,305,2049
-1uknXCusCc,Sports,187652,3638,123,766
-1xqx6-5PZY,Sports,56057,9219,34,630
-2-xE5o5yNw,People & Blogs,500481,46147,417,7403
-22wpjBIWVc,Entertainment,151374,14950,325,893
-24aJzGM_fg,Entertainment,888400,56589,231,2391
-28MklfSdVo,Autos & Vehicles,44400,3296,104,189
-29uvnpHjpI,Education,190455,28832,378,1292
-29vlQ-KaUU,News & Politics,76692,1308,38,38
-2DtPNs5jfw,Howto & Style,1757514,55033,17560,9201
-2FGQctqx78,Entertainment,637575,18634,318,816
-2FZIh5rAPk,Entertainment,301705,8182,174,298
-2Gwm7QfBnE,People & Blogs,442378,26398,176,567
-2KTRXu7KwQ,Music,262786,2522,54,261
-2KkgjWxa3U,Sports,248632,6918,307,621
-2L24pBHWdc,Entertainment,363758,29489,587,2018
-2MteaoPAdw,People & Blogs,241213,15865,333,2159
-2PjgVtX_bs,Education,1235051,96397,919,1789
-2QbltNfMQc,Howto & Style,799486,49740,1469,6764
-2RJTVPSOPc,Music,23422631,1106267,108509,1191634
-2Z06i1lsjw,Autos & Vehicles,54094,3295,73,152
-2_vnt8ljao,Sports,348341,6267,179,335
-2jigskmEXc,Entertainment,322629,11348,110,291
-2qnwaCJ9VM,People & Blogs,207385,38053,273,949
-2u7PvvVBTQ,Entertainment,338939,15629,917,16141
-2yMo40skKg,Sports,702588,21771,437,2534
-313pKeFDI4,Entertainment,2059558,205613,1033,5885
-31f4V8pfng,People & Blogs,60046,2012,304,213
-37GH6sBQCg,Sports,767228,96648,1268,16399
-3CE8X3d6kw,Comedy,2707955,84382,1537,5303
-3Gw6k5syiQ,Science & Technology,292580,17218,268,1131
-3HjrdC0dAk,Music,13744402,389436,13899,12378
-3J-f81zJe8,Gaming,32204,5020,81,340
-3MDYk8hsGg,Entertainment,2026971,92090,3383,2605
-3SchgAsqwQ,Music,81911,7345,610,1426
-3TKPwVJsIA,People & Blogs,42357,2877,62,442
-3Z7TLK22Qw,Music,806620,81888,742,7634
-3ZR8VUMOvI,Entertainment,140943,6351,72,1186
-3aaVP5luyA,Music,901080,44614,350,950
-3lR_K9rmI8,Howto & Style,50236,4094,73,202
-3tCIimiD0g,People & Blogs,370080,21090,393,1813
-3zqU_Z6T3o,Entertainment,2297432,55597,1948,1536
-42LmVzfw_E,Entertainment,3162860,528964,12927,40687
-49xdnmOuHM,People & Blogs,219858,6513,241,1364
-4CMLC3ZjB0,Film & Animation,796587,0,0,0
-4EESZhGcGo,Comedy,636842,10801,726,823
-4GamNNfd5g,Entertainment,115155,8954,254,301
-4IZhtgbk70,News & Politics,106509,2523,56,1028
-4Jn1I5M1Io,Sports,77994,1644,58,701
-4OkMyssKX8,Gaming,84076,3631,151,190
-4ReDY4-0Eg,News & Politics,61840,5882,82,1218
-4TNQajaRg8,News & Politics,98127,2362,1495,849
-4TcP4g-lFg,Sports,87466,3263,90,359
-4Vw9RKOicY,Gaming,81126,6928,112,603
-4Yl8FYeWHc,Autos & Vehicles,58303,4497,310,657
-4_QqWMIsnE,Sports,417468,5293,111,713
-4frykbYBwA,Entertainment,92770,8929,41,248
-4hav57OkEQ,Entertainment,729569,10489,314,402
-4ibAAzTiaI,People & Blogs,98950,14440,74,2126
-4kCl8yWmZs,Music,264247,31357,4227,3113
-4n2JbVeJGM,Sports,680751,11381,210,1302
-4ni0pcKZ4w,Music,2260371,282010,2948,19362
-4oZLQdE-8I,Pets & Animals,505571,5463,536,414
-4pcVz_L0M4,Entertainment,407087,10912,386,675
-4pqXL3nlf8,Entertainment,4104508,323828,7590,5006
-4s3S97f8Uk,Comedy,359701,63663,354,3852
-4sfXSHSxzA,Howto & Style,4188250,192871,4814,7523
-4ttx8xnqYs,People & Blogs,130929,7772,685,483
-4vgLF7eFEQ,Science & Technology,1024969,53041,4439,3438
-4x1HrcxtvI,Music,106903,0,0,79
-4ypIQAeYmY,Film & Animation,687966,22676,136,1944
-4zsY28t76k,Autos & Vehicles,1288793,36240,1768,3357
-51POqHC5is,,47729,3453,147,614
-51Qrp7MOiU,Sports,258357,3393,212,95
-54PAKnVeNw,Entertainment,296440,7064,263,531
-555Hg5_Qqo,Entertainment,545985,11464,156,474
-5AbFBuzs24,Autos & Vehicles,26891,1412,84,304
-5NkvSgEfpI,Entertainment,1379897,44244,2711,2256
-5NwkXsx4wY,Film & Animation,668103,5279,279,317
-5PPcS_pWhA,Music,391142,14320,373,1191
-5QQZLZezaY,Entertainment,568841,79156,1251,4495
-5Rr3tf9Q6I,Entertainment,458544,14860,183,1049
-5TvBkj-MFM,News & Politics,170658,5874,387,401
-5iSLEtOUqY,Entertainment,2820236,22878,1606,1664
-5l_Gk4ybS8,Entertainment,236416,6487,229,1687
-5q5mZbe3V8,Music,161912058,11650994,141033,4225989
-5se6g8HUkk,Music,204735,1140,65,32
-5yqQ_0CnHo,Entertainment,1026434,15947,363,1023
-5zFvcdtZWk,Entertainment,385054,8221,361,666
-62mozHwCUo,Comedy,666278,38183,1045,693
-63LXYkR5zE,Entertainment,558804,36512,540,1526
-63a0LK42_g,Entertainment,1260076,126533,1750,2665
-67oFnwuSRw,Music,254354,35962,247,3229
-6DdWId6TVM,Music,4693660,93668,4256,5423
-6DvEEdAvU8,Sports,77720,2387,16,217
-6F3lEiP5a4,News & Politics,149280,5706,563,1233
-6FtVvTjRiI,Comedy,4688935,587358,9576,50865
-6Hw1ZoCapg,Howto & Style,1521854,91223,3909,6148
-6Ildn2Dq2A,Music,1618860,113274,3401,12583
-6JKxiIT_AE,Film & Animation,87171,13203,183,1388
-6KJA5nldEI,Howto & Style,1761153,47668,2278,3569
