categoryName,trending_date,country,count,view_count
Autos & Vehicles,2020-08-12 00:00:00+00:00,Brazil,1,186019
Autos & Vehicles,2020-08-12 00:00:00+00:00,Canada,5,3017450
Autos & Vehicles,2020-08-12 00:00:00+00:00,France,7,677112
Autos & Vehicles,2020-08-12 00:00:00+00:00,Germany,11,2256276
Autos & Vehicles,2020-08-12 00:00:00+00:00,India,2,1322871
Autos & Vehicles,2020-08-12 00:00:00+00:00,Japan,3,858071
Autos & Vehicles,2020-08-12 00:00:00+00:00,Mexico,2,1571294
Autos & Vehicles,2020-08-12 00:00:00+00:00,Russia,18,5824549
Autos & Vehicles,2020-08-12 00:00:00+00:00,United Kingdom,3,1768195
Autos & Vehicles,2020-08-12 00:00:00+00:00,United States,4,2674425
Autos & Vehicles,2020-08-13 00:00:00+00:00,Brazil,2,259173
Autos & Vehicles,2020-08-13 00:00:00+00:00,Canada,5,2874014
Autos & Vehicles,2020-08-13 00:00:00+00:00,France,10,908454
Autos & Vehicles,2020-08-13 00:00:00+00:00,Germany,7,2011576
Autos & Vehicles,2020-08-13 00:00:00+00:00,Japan,4,1123880
Autos & Vehicles,2020-08-13 00:00:00+00:00,Mexico,3,2511356
Autos & Vehicles,2020-08-13 00:00:00+00:00,Russia,13,6310140
Autos & Vehicles,2020-08-13 00:00:00+00:00,United Kingdom,4,1985132
Autos & Vehicles,2020-08-13 00:00:00+00:00,United States,4,2379597
Autos & Vehicles,2020-08-14 00:00:00+00:00,Brazil,2,290612
Autos & Vehicles,2020-08-14 00:00:00+00:00,Canada,5,3098854
Autos & Vehicles,2020-08-14 00:00:00+00:00,France,9,1235148
Autos & Vehicles,2020-08-14 00:00:00+00:00,Germany,4,1433463
Autos & Vehicles,2020-08-14 00:00:00+00:00,Japan,4,1201342
Autos & Vehicles,2020-08-14 00:00:00+00:00,Mexico,3,2666570
Autos & Vehicles,2020-08-14 00:00:00+00:00,Russia,10,3047507
Autos & Vehicles,2020-08-14 00:00:00+00:00,South Korea,1,262922
Autos & Vehicles,2020-08-14 00:00:00+00:00,United Kingdom,3,644294
Autos & Vehicles,2020-08-14 00:00:00+00:00,United States,3,1987983
Autos & Vehicles,2020-08-15 00:00:00+00:00,Brazil,2,306175
Autos & Vehicles,2020-08-15 00:00:00+00:00,Canada,3,1420423
Autos & Vehicles,2020-08-15 00:00:00+00:00,France,9,1506509
Autos & Vehicles,2020-08-15 00:00:00+00:00,Germany,5,1268417
Autos & Vehicles,2020-08-15 00:00:00+00:00,India,1,210741
Autos & Vehicles,2020-08-15 00:00:00+00:00,Japan,5,1440233
Autos & Vehicles,2020-08-15 00:00:00+00:00,Mexico,3,2765892
Autos & Vehicles,2020-08-15 00:00:00+00:00,Russia,9,2161075
Autos & Vehicles,2020-08-15 00:00:00+00:00,South Korea,2,1074151
Autos & Vehicles,2020-08-15 00:00:00+00:00,United Kingdom,2,298096
Autos & Vehicles,2020-08-15 00:00:00+00:00,United States,1,168987
Autos & Vehicles,2020-08-16 00:00:00+00:00,Brazil,2,317731
Autos & Vehicles,2020-08-16 00:00:00+00:00,Canada,3,1364273
Autos & Vehicles,2020-08-16 00:00:00+00:00,France,9,1813347
Autos & Vehicles,2020-08-16 00:00:00+00:00,Germany,7,2963851
Autos & Vehicles,2020-08-16 00:00:00+00:00,India,4,1942854
Autos & Vehicles,2020-08-16 00:00:00+00:00,Japan,3,894365
Autos & Vehicles,2020-08-16 00:00:00+00:00,Mexico,5,3586326
Autos & Vehicles,2020-08-16 00:00:00+00:00,Russia,5,1623013
Autos & Vehicles,2020-08-16 00:00:00+00:00,South Korea,2,1370208
Autos & Vehicles,2020-08-16 00:00:00+00:00,United Kingdom,3,1833917
Autos & Vehicles,2020-08-16 00:00:00+00:00,United States,2,456937
Autos & Vehicles,2020-08-17 00:00:00+00:00,Brazil,4,466818
Autos & Vehicles,2020-08-17 00:00:00+00:00,Canada,4,945341
Autos & Vehicles,2020-08-17 00:00:00+00:00,France,8,1849975
Autos & Vehicles,2020-08-17 00:00:00+00:00,Germany,10,3227762
Autos & Vehicles,2020-08-17 00:00:00+00:00,India,4,2902232
Autos & Vehicles,2020-08-17 00:00:00+00:00,Japan,4,1145658
Autos & Vehicles,2020-08-17 00:00:00+00:00,Mexico,5,3802920
Autos & Vehicles,2020-08-17 00:00:00+00:00,Russia,14,5666106
Autos & Vehicles,2020-08-17 00:00:00+00:00,South Korea,2,1661199
Autos & Vehicles,2020-08-17 00:00:00+00:00,United Kingdom,3,2162540
Autos & Vehicles,2020-08-17 00:00:00+00:00,United States,3,838570
Autos & Vehicles,2020-08-18 00:00:00+00:00,Brazil,4,363697
Autos & Vehicles,2020-08-18 00:00:00+00:00,Canada,6,1653680
Autos & Vehicles,2020-08-18 00:00:00+00:00,France,9,1958841
Autos & Vehicles,2020-08-18 00:00:00+00:00,Germany,8,1352374
Autos & Vehicles,2020-08-18 00:00:00+00:00,India,4,3394173
Autos & Vehicles,2020-08-18 00:00:00+00:00,Japan,3,973957
Autos & Vehicles,2020-08-18 00:00:00+00:00,Mexico,5,3789169
Autos & Vehicles,2020-08-18 00:00:00+00:00,Russia,19,6227638
Autos & Vehicles,2020-08-18 00:00:00+00:00,South Korea,4,1898762
Autos & Vehicles,2020-08-18 00:00:00+00:00,United Kingdom,2,2287137
Autos & Vehicles,2020-08-18 00:00:00+00:00,United States,5,1501743
Autos & Vehicles,2020-08-19 00:00:00+00:00,Brazil,5,432452
Autos & Vehicles,2020-08-19 00:00:00+00:00,Canada,6,2015806
Autos & Vehicles,2020-08-19 00:00:00+00:00,France,10,2111304
Autos & Vehicles,2020-08-19 00:00:00+00:00,Germany,8,1378609
Autos & Vehicles,2020-08-19 00:00:00+00:00,India,3,3461670
Autos & Vehicles,2020-08-19 00:00:00+00:00,Japan,5,1469884
Autos & Vehicles,2020-08-19 00:00:00+00:00,Mexico,4,3299547
Autos & Vehicles,2020-08-19 00:00:00+00:00,Russia,14,6420075
Autos & Vehicles,2020-08-19 00:00:00+00:00,South Korea,7,2752509
Autos & Vehicles,2020-08-19 00:00:00+00:00,United Kingdom,2,2400948
Autos & Vehicles,2020-08-19 00:00:00+00:00,United States,6,3755767
Autos & Vehicles,2020-08-20 00:00:00+00:00,Brazil,5,522379
Autos & Vehicles,2020-08-20 00:00:00+00:00,Canada,6,2030965
Autos & Vehicles,2020-08-20 00:00:00+00:00,France,10,1679135
Autos & Vehicles,2020-08-20 00:00:00+00:00,Germany,10,2008058
Autos & Vehicles,2020-08-20 00:00:00+00:00,India,3,3635563
Autos & Vehicles,2020-08-20 00:00:00+00:00,Japan,7,2094174
Autos & Vehicles,2020-08-20 00:00:00+00:00,Mexico,5,3811118
Autos & Vehicles,2020-08-20 00:00:00+00:00,Russia,6,3655976
Autos & Vehicles,2020-08-20 00:00:00+00:00,South Korea,8,3283153
Autos & Vehicles,2020-08-20 00:00:00+00:00,United Kingdom,2,435691
Autos & Vehicles,2020-08-20 00:00:00+00:00,United States,7,4471977
Autos & Vehicles,2020-08-21 00:00:00+00:00,Brazil,4,499245
Autos & Vehicles,2020-08-21 00:00:00+00:00,Canada,6,2813021
Autos & Vehicles,2020-08-21 00:00:00+00:00,France,8,1042453
Autos & Vehicles,2020-08-21 00:00:00+00:00,Germany,11,2930748
Autos & Vehicles,2020-08-21 00:00:00+00:00,India,3,3733444
Autos & Vehicles,2020-08-21 00:00:00+00:00,Japan,8,2030571
Autos & Vehicles,2020-08-21 00:00:00+00:00,Mexico,6,4515631
Autos & Vehicles,2020-08-21 00:00:00+00:00,Russia,9,5119530
Autos & Vehicles,2020-08-21 00:00:00+00:00,South Korea,7,3578707
Autos & Vehicles,2020-08-21 00:00:00+00:00,United Kingdom,3,1439433
Autos & Vehicles,2020-08-21 00:00:00+00:00,United States,7,5338054
Autos & Vehicles,2020-08-22 00:00:00+00:00,Brazil,3,485106
Autos & Vehicles,2020-08-22 00:00:00+00:00,Canada,5,3056942
Autos & Vehicles,2020-08-22 00:00:00+00:00,France,7,866884
Autos & Vehicles,2020-08-22 00:00:00+00:00,Germany,14,4393483
Autos & Vehicles,2020-08-22 00:00:00+00:00,Japan,5,1639722
Autos & Vehicles,2020-08-22 00:00:00+00:00,Russia,9,2457849
Autos & Vehicles,2020-08-22 00:00:00+00:00,South Korea,6,2006266
Autos & Vehicles,2020-08-22 00:00:00+00:00,United Kingdom,4,2502276
Autos & Vehicles,2020-08-22 00:00:00+00:00,United States,7,6273376
Autos & Vehicles,2020-08-23 00:00:00+00:00,Brazil,3,657032
Autos & Vehicles,2020-08-23 00:00:00+00:00,Canada,5,3376004
Autos & Vehicles,2020-08-23 00:00:00+00:00,France,6,794973
Autos & Vehicles,2020-08-23 00:00:00+00:00,Germany,12,5795602
Autos & Vehicles,2020-08-23 00:00:00+00:00,Japan,8,2576674
Autos & Vehicles,2020-08-23 00:00:00+00:00,Mexico,4,3594202
Autos & Vehicles,2020-08-23 00:00:00+00:00,Russia,12,1731003
Autos & Vehicles,2020-08-23 00:00:00+00:00,South Korea,6,2578943
Autos & Vehicles,2020-08-23 00:00:00+00:00,United Kingdom,3,2050105
Autos & Vehicles,2020-08-23 00:00:00+00:00,United States,6,5978218
Autos & Vehicles,2020-08-24 00:00:00+00:00,Brazil,3,791580
Autos & Vehicles,2020-08-24 00:00:00+00:00,Canada,2,2188452
Autos & Vehicles,2020-08-24 00:00:00+00:00,France,7,881425
Autos & Vehicles,2020-08-24 00:00:00+00:00,Germany,12,6391432
Autos & Vehicles,2020-08-24 00:00:00+00:00,Japan,7,2545547
Autos & Vehicles,2020-08-24 00:00:00+00:00,Mexico,4,3684917
Autos & Vehicles,2020-08-24 00:00:00+00:00,Russia,9,2409148
Autos & Vehicles,2020-08-24 00:00:00+00:00,South Korea,3,2076693
Autos & Vehicles,2020-08-24 00:00:00+00:00,United Kingdom,5,4516010
Autos & Vehicles,2020-08-24 00:00:00+00:00,United States,4,3191913
Autos & Vehicles,2020-08-25 00:00:00+00:00,Brazil,2,807440
Autos & Vehicles,2020-08-25 00:00:00+00:00,Canada,2,2326515
Autos & Vehicles,2020-08-25 00:00:00+00:00,France,8,1375247
Autos & Vehicles,2020-08-25 00:00:00+00:00,Germany,10,5360299
Autos & Vehicles,2020-08-25 00:00:00+00:00,Japan,10,3075137
Autos & Vehicles,2020-08-25 00:00:00+00:00,Mexico,4,3750167
Autos & Vehicles,2020-08-25 00:00:00+00:00,Russia,10,3891865
Autos & Vehicles,2020-08-25 00:00:00+00:00,South Korea,2,1482738
Autos & Vehicles,2020-08-25 00:00:00+00:00,United Kingdom,3,4218946
Autos & Vehicles,2020-08-25 00:00:00+00:00,United States,3,2604160
