categoryName,trending_date,country,count
Autos & Vehicles,2020-08-12 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-08-12 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-08-12 00:00:00+00:00,France,7
Autos & Vehicles,2020-08-12 00:00:00+00:00,Germany,11
Autos & Vehicles,2020-08-12 00:00:00+00:00,India,2
Autos & Vehicles,2020-08-12 00:00:00+00:00,Japan,3
Autos & Vehicles,2020-08-12 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-08-12 00:00:00+00:00,Russia,18
Autos & Vehicles,2020-08-12 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-08-12 00:00:00+00:00,United States,4
Autos & Vehicles,2020-08-13 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-08-13 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-08-13 00:00:00+00:00,France,10
Autos & Vehicles,2020-08-13 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-08-13 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-08-13 00:00:00+00:00,Mexico,3
Autos & Vehicles,2020-08-13 00:00:00+00:00,Russia,13
Autos & Vehicles,2020-08-13 00:00:00+00:00,United Kingdom,4
Autos & Vehicles,2020-08-13 00:00:00+00:00,United States,4
Autos & Vehicles,2020-08-14 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-08-14 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-08-14 00:00:00+00:00,France,9
Autos & Vehicles,2020-08-14 00:00:00+00:00,Germany,4
Autos & Vehicles,2020-08-14 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-08-14 00:00:00+00:00,Mexico,3
Autos & Vehicles,2020-08-14 00:00:00+00:00,Russia,10
Autos & Vehicles,2020-08-14 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-08-14 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-08-14 00:00:00+00:00,United States,3
Autos & Vehicles,2020-08-15 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-08-15 00:00:00+00:00,Canada,3
Autos & Vehicles,2020-08-15 00:00:00+00:00,France,9
Autos & Vehicles,2020-08-15 00:00:00+00:00,Germany,5
Autos & Vehicles,2020-08-15 00:00:00+00:00,India,1
Autos & Vehicles,2020-08-15 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-08-15 00:00:00+00:00,Mexico,3
Autos & Vehicles,2020-08-15 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-08-15 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-08-15 00:00:00+00:00,United Kingdom,2
Autos & Vehicles,2020-08-15 00:00:00+00:00,United States,1
Autos & Vehicles,2020-08-16 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-08-16 00:00:00+00:00,Canada,3
Autos & Vehicles,2020-08-16 00:00:00+00:00,France,9
