categoryName,trending_date,country,view_count
Autos & Vehicles,2020-08-12 00:00:00+00:00,Brazil,186019
Autos & Vehicles,2020-08-12 00:00:00+00:00,Canada,3017450
Autos & Vehicles,2020-08-12 00:00:00+00:00,France,677112
Autos & Vehicles,2020-08-12 00:00:00+00:00,Germany,2256276
Autos & Vehicles,2020-08-12 00:00:00+00:00,India,1322871
Autos & Vehicles,2020-08-12 00:00:00+00:00,Japan,858071
Autos & Vehicles,2020-08-12 00:00:00+00:00,Mexico,1571294
Autos & Vehicles,2020-08-12 00:00:00+00:00,Russia,5824549
Autos & Vehicles,2020-08-12 00:00:00+00:00,United Kingdom,1768195
Autos & Vehicles,2020-08-12 00:00:00+00:00,United States,2674425
Autos & Vehicles,2020-08-13 00:00:00+00:00,Brazil,259173
Autos & Vehicles,2020-08-13 00:00:00+00:00,Canada,2874014
Autos & Vehicles,2020-08-13 00:00:00+00:00,France,908454
Autos & Vehicles,2020-08-13 00:00:00+00:00,Germany,2011576
Autos & Vehicles,2020-08-13 00:00:00+00:00,Japan,1123880
Autos & Vehicles,2020-08-13 00:00:00+00:00,Mexico,2511356
Autos & Vehicles,2020-08-13 00:00:00+00:00,Russia,6310140
Autos & Vehicles,2020-08-13 00:00:00+00:00,United Kingdom,1985132
Autos & Vehicles,2020-08-13 00:00:00+00:00,United States,2379597
Autos & Vehicles,2020-08-14 00:00:00+00:00,Brazil,290612
Autos & Vehicles,2020-08-14 00:00:00+00:00,Canada,3098854
Autos & Vehicles,2020-08-14 00:00:00+00:00,France,1235148
Autos & Vehicles,2020-08-14 00:00:00+00:00,Germany,1433463
Autos & Vehicles,2020-08-14 00:00:00+00:00,Japan,1201342
Autos & Vehicles,2020-08-14 00:00:00+00:00,Mexico,2666570
Autos & Vehicles,2020-08-14 00:00:00+00:00,Russia,3047507
Autos & Vehicles,2020-08-14 00:00:00+00:00,South Korea,262922
Autos & Vehicles,2020-08-14 00:00:00+00:00,United Kingdom,644294
Autos & Vehicles,2020-08-14 00:00:00+00:00,United States,1987983
Autos & Vehicles,2020-08-15 00:00:00+00:00,Brazil,306175
Autos & Vehicles,2020-08-15 00:00:00+00:00,Canada,1420423
Autos & Vehicles,2020-08-15 00:00:00+00:00,France,1506509
Autos & Vehicles,2020-08-15 00:00:00+00:00,Germany,1268417
Autos & Vehicles,2020-08-15 00:00:00+00:00,India,210741
Autos & Vehicles,2020-08-15 00:00:00+00:00,Japan,1440233
Autos & Vehicles,2020-08-15 00:00:00+00:00,Mexico,2765892
Autos & Vehicles,2020-08-15 00:00:00+00:00,Russia,2161075
Autos & Vehicles,2020-08-15 00:00:00+00:00,South Korea,1074151
Autos & Vehicles,2020-08-15 00:00:00+00:00,United Kingdom,298096
Autos & Vehicles,2020-08-15 00:00:00+00:00,United States,168987
Autos & Vehicles,2020-08-16 00:00:00+00:00,Brazil,317731
Autos & Vehicles,2020-08-16 00:00:00+00:00,Canada,1364273
Autos & Vehicles,2020-08-16 00:00:00+00:00,France,1813347
Autos & Vehicles,2020-08-16 00:00:00+00:00,Germany,2963851
Autos & Vehicles,2020-08-16 00:00:00+00:00,India,1942854
Autos & Vehicles,2020-08-16 00:00:00+00:00,Japan,894365
Autos & Vehicles,2020-08-16 00:00:00+00:00,Mexico,3586326
Autos & Vehicles,2020-08-16 00:00:00+00:00,Russia,1623013
Autos & Vehicles,2020-08-16 00:00:00+00:00,South Korea,1370208
Autos & Vehicles,2020-08-16 00:00:00+00:00,United Kingdom,1833917
Autos & Vehicles,2020-08-16 00:00:00+00:00,United States,456937
Autos & Vehicles,2020-08-17 00:00:00+00:00,Brazil,466818
Autos & Vehicles,2020-08-17 00:00:00+00:00,Canada,945341
Autos & Vehicles,2020-08-17 00:00:00+00:00,France,1849975
Autos & Vehicles,2020-08-17 00:00:00+00:00,Germany,3227762
Autos & Vehicles,2020-08-17 00:00:00+00:00,India,2902232
Autos & Vehicles,2020-08-17 00:00:00+00:00,Japan,1145658
Autos & Vehicles,2020-08-17 00:00:00+00:00,Mexico,3802920
Autos & Vehicles,2020-08-17 00:00:00+00:00,Russia,5666106
Autos & Vehicles,2020-08-17 00:00:00+00:00,South Korea,1661199
Autos & Vehicles,2020-08-17 00:00:00+00:00,United Kingdom,2162540
Autos & Vehicles,2020-08-17 00:00:00+00:00,United States,838570
Autos & Vehicles,2020-08-18 00:00:00+00:00,Brazil,363697
Autos & Vehicles,2020-08-18 00:00:00+00:00,Canada,1653680
Autos & Vehicles,2020-08-18 00:00:00+00:00,France,1958841
Autos & Vehicles,2020-08-18 00:00:00+00:00,Germany,1352374
Autos & Vehicles,2020-08-18 00:00:00+00:00,India,3394173
Autos & Vehicles,2020-08-18 00:00:00+00:00,Japan,973957
Autos & Vehicles,2020-08-18 00:00:00+00:00,Mexico,3789169
Autos & Vehicles,2020-08-18 00:00:00+00:00,Russia,6227638
Autos & Vehicles,2020-08-18 00:00:00+00:00,South Korea,1898762
Autos & Vehicles,2020-08-18 00:00:00+00:00,United Kingdom,2287137
Autos & Vehicles,2020-08-18 00:00:00+00:00,United States,1501743
Autos & Vehicles,2020-08-19 00:00:00+00:00,Brazil,432452
Autos & Vehicles,2020-08-19 00:00:00+00:00,Canada,2015806
Autos & Vehicles,2020-08-19 00:00:00+00:00,France,2111304
Autos & Vehicles,2020-08-19 00:00:00+00:00,Germany,1378609
Autos & Vehicles,2020-08-19 00:00:00+00:00,India,3461670
Autos & Vehicles,2020-08-19 00:00:00+00:00,Japan,1469884
Autos & Vehicles,2020-08-19 00:00:00+00:00,Mexico,3299547
Autos & Vehicles,2020-08-19 00:00:00+00:00,Russia,6420075
Autos & Vehicles,2020-08-19 00:00:00+00:00,South Korea,2752509
Autos & Vehicles,2020-08-19 00:00:00+00:00,United Kingdom,2400948
Autos & Vehicles,2020-08-19 00:00:00+00:00,United States,3755767
Autos & Vehicles,2020-08-20 00:00:00+00:00,Brazil,522379
Autos & Vehicles,2020-08-20 00:00:00+00:00,Canada,2030965
Autos & Vehicles,2020-08-20 00:00:00+00:00,France,1679135
Autos & Vehicles,2020-08-20 00:00:00+00:00,Germany,2008058
Autos & Vehicles,2020-08-20 00:00:00+00:00,India,3635563
Autos & Vehicles,2020-08-20 00:00:00+00:00,Japan,2094174
Autos & Vehicles,2020-08-20 00:00:00+00:00,Mexico,3811118
Autos & Vehicles,2020-08-20 00:00:00+00:00,Russia,3655976
Autos & Vehicles,2020-08-20 00:00:00+00:00,South Korea,3283153
Autos & Vehicles,2020-08-20 00:00:00+00:00,United Kingdom,435691
Autos & Vehicles,2020-08-20 00:00:00+00:00,United States,4471977
Autos & Vehicles,2020-08-21 00:00:00+00:00,Brazil,499245
Autos & Vehicles,2020-08-21 00:00:00+00:00,Canada,2813021
Autos & Vehicles,2020-08-21 00:00:00+00:00,France,1042453
Autos & Vehicles,2020-08-21 00:00:00+00:00,Germany,2930748
Autos & Vehicles,2020-08-21 00:00:00+00:00,India,3733444
Autos & Vehicles,2020-08-21 00:00:00+00:00,Japan,2030571
Autos & Vehicles,2020-08-21 00:00:00+00:00,Mexico,4515631
Autos & Vehicles,2020-08-21 00:00:00+00:00,Russia,5119530
Autos & Vehicles,2020-08-21 00:00:00+00:00,South Korea,3578707
Autos & Vehicles,2020-08-21 00:00:00+00:00,United Kingdom,1439433
Autos & Vehicles,2020-08-21 00:00:00+00:00,United States,5338054
Autos & Vehicles,2020-08-22 00:00:00+00:00,Brazil,485106
Autos & Vehicles,2020-08-22 00:00:00+00:00,Canada,3056942
Autos & Vehicles,2020-08-22 00:00:00+00:00,France,866884
Autos & Vehicles,2020-08-22 00:00:00+00:00,Germany,4393483
Autos & Vehicles,2020-08-22 00:00:00+00:00,Japan,1639722
Autos & Vehicles,2020-08-22 00:00:00+00:00,Russia,2457849
Autos & Vehicles,2020-08-22 00:00:00+00:00,South Korea,2006266
Autos & Vehicles,2020-08-22 00:00:00+00:00,United Kingdom,2502276
Autos & Vehicles,2020-08-22 00:00:00+00:00,United States,6273376
Autos & Vehicles,2020-08-23 00:00:00+00:00,Brazil,657032
Autos & Vehicles,2020-08-23 00:00:00+00:00,Canada,3376004
Autos & Vehicles,2020-08-23 00:00:00+00:00,France,794973
Autos & Vehicles,2020-08-23 00:00:00+00:00,Germany,5795602
Autos & Vehicles,2020-08-23 00:00:00+00:00,Japan,2576674
Autos & Vehicles,2020-08-23 00:00:00+00:00,Mexico,3594202
Autos & Vehicles,2020-08-23 00:00:00+00:00,Russia,1731003
Autos & Vehicles,2020-08-23 00:00:00+00:00,South Korea,2578943
Autos & Vehicles,2020-08-23 00:00:00+00:00,United Kingdom,2050105
Autos & Vehicles,2020-08-23 00:00:00+00:00,United States,5978218
Autos & Vehicles,2020-08-24 00:00:00+00:00,Brazil,791580
Autos & Vehicles,2020-08-24 00:00:00+00:00,Canada,2188452
Autos & Vehicles,2020-08-24 00:00:00+00:00,France,881425
Autos & Vehicles,2020-08-24 00:00:00+00:00,Germany,6391432
Autos & Vehicles,2020-08-24 00:00:00+00:00,Japan,2545547
Autos & Vehicles,2020-08-24 00:00:00+00:00,Mexico,3684917
Autos & Vehicles,2020-08-24 00:00:00+00:00,Russia,2409148
Autos & Vehicles,2020-08-24 00:00:00+00:00,South Korea,2076693
Autos & Vehicles,2020-08-24 00:00:00+00:00,United Kingdom,4516010
Autos & Vehicles,2020-08-24 00:00:00+00:00,United States,3191913
Autos & Vehicles,2020-08-25 00:00:00+00:00,Brazil,807440
Autos & Vehicles,2020-08-25 00:00:00+00:00,Canada,2326515
Autos & Vehicles,2020-08-25 00:00:00+00:00,France,1375247
Autos & Vehicles,2020-08-25 00:00:00+00:00,Germany,5360299
Autos & Vehicles,2020-08-25 00:00:00+00:00,Japan,3075137
Autos & Vehicles,2020-08-25 00:00:00+00:00,Mexico,3750167
Autos & Vehicles,2020-08-25 00:00:00+00:00,Russia,3891865
Autos & Vehicles,2020-08-25 00:00:00+00:00,South Korea,1482738
Autos & Vehicles,2020-08-25 00:00:00+00:00,United Kingdom,4218946
Autos & Vehicles,2020-08-25 00:00:00+00:00,United States,2604160
Autos & Vehicles,2020-08-26 00:00:00+00:00,Brazil,199268
Autos & Vehicles,2020-08-26 00:00:00+00:00,Canada,1424953
Autos & Vehicles,2020-08-26 00:00:00+00:00,France,1274776
Autos & Vehicles,2020-08-26 00:00:00+00:00,Germany,4349905
Autos & Vehicles,2020-08-26 00:00:00+00:00,Japan,2534141
Autos & Vehicles,2020-08-26 00:00:00+00:00,Mexico,4323025
Autos & Vehicles,2020-08-26 00:00:00+00:00,Russia,7926895
